timestep,oat_mse,enriched_mse
1.830000000000000000e+02,3.185701564843259059e-01,3.107976544746645087e-01
1.840000000000000000e+02,3.207229460796632847e-01,3.175663407070454247e-01
1.850000000000000000e+02,3.253087220297087301e-01,3.268469833211530284e-01
1.860000000000000000e+02,3.291246716628784541e-01,3.305615430255915976e-01
1.870000000000000000e+02,3.336811644415590972e-01,3.363916135647486150e-01
1.880000000000000000e+02,3.377439995853342980e-01,3.428878627961630121e-01
1.890000000000000000e+02,3.361636833532695157e-01,3.543563453315920486e-01
1.900000000000000000e+02,3.414846415467917562e-01,3.581125623876184050e-01
1.910000000000000000e+02,3.473803331659751636e-01,3.571496104508187219e-01
1.920000000000000000e+02,3.483496597083123314e-01,3.639672076131897360e-01
1.930000000000000000e+02,3.449039278115941798e-01,3.678206407107652565e-01
1.940000000000000000e+02,3.426202121297556302e-01,3.622098178210767516e-01
1.950000000000000000e+02,3.510488841461528731e-01,3.622375879547596322e-01
1.960000000000000000e+02,3.525152559804893837e-01,3.530502972854793198e-01
1.970000000000000000e+02,3.509454873001658926e-01,3.406312389914974426e-01
1.980000000000000000e+02,3.543468813037207177e-01,3.372589564972644505e-01
1.990000000000000000e+02,3.646754111074677618e-01,3.257038212826323664e-01
2.000000000000000000e+02,3.624381328032041383e-01,3.069678923169961160e-01
2.010000000000000000e+02,3.627734788677682287e-01,2.977955141468543454e-01
2.020000000000000000e+02,3.527941856742976556e-01,2.913825053279661681e-01
2.030000000000000000e+02,3.518471959067601684e-01,2.856465640200923084e-01
2.040000000000000000e+02,3.350871547385648186e-01,2.852558536949417745e-01
2.050000000000000000e+02,3.389941394376653205e-01,2.835128558288456668e-01
2.060000000000000000e+02,3.325292600877015614e-01,2.870125459240207566e-01
2.070000000000000000e+02,3.218988786163696214e-01,2.860809394536064643e-01
2.080000000000000000e+02,3.386052933979738500e-01,2.889531783292992317e-01
2.090000000000000000e+02,3.329099081336265309e-01,2.839620019112503169e-01
2.100000000000000000e+02,3.302908794521874358e-01,2.760472911326941059e-01
2.110000000000000000e+02,3.237936444251548473e-01,2.653596581636964435e-01
2.120000000000000000e+02,3.275124018656470626e-01,2.628794733821776530e-01
2.130000000000000000e+02,3.178089452258071601e-01,2.505357339442339515e-01
2.140000000000000000e+02,3.119354103065737349e-01,2.449727226221390386e-01
2.150000000000000000e+02,2.906918319588555066e-01,2.429414653970862481e-01
2.160000000000000000e+02,2.901864434755465072e-01,2.405572484164100189e-01
2.170000000000000000e+02,2.898456208673267920e-01,2.449428250885160863e-01
